fecha_venta,ciudad,temperatura_maxima,temperatura_minima,lluvia_mm,precio_unitario,total_venta,ventas_predichas
2013-06-13,Los Angeles,22.5,15.4,53.1,7.31,14.62,240.74846952940268
2011-06-09,Los Angeles,23.7,14.7,44.9,6.9799999999999995,48.86,223.353331311615
2011-06-09,Los Angeles,23.7,14.7,44.9,1.82,7.28,223.353331311615
2011-06-09,Los Angeles,23.7,14.7,44.9,151.192,907.152,223.353331311615
2011-06-09,Los Angeles,23.7,14.7,44.9,6.168,18.504,223.353331311615
2011-06-09,Los Angeles,23.7,14.7,44.9,22.98,114.9,223.353331311615
2011-06-09,Los Angeles,23.7,14.7,44.9,189.576,1706.184,223.353331311615
2011-06-09,Los Angeles,23.7,14.7,44.9,227.856,911.424,223.353331311615
2013-12-06,Seattle,-14.6,-21.0,0.0,135.992,407.976,298.10840657761776
2011-08-27,San Francisco,30.1,20.3,1.1,4.28,8.56,201.56498036760388
2011-08-27,San Francisco,30.1,20.3,1.1,71.16,213.48,201.56498036760388
2011-08-27,San Francisco,30.1,20.3,1.1,5.68,22.72,201.56498036760388
2014-07-17,Philadelphia,26.1,17.3,0.0,35.686,71.372,215.36923216960588
2013-01-16,Los Angeles,22.5,15.9,10.7,5.824,11.648,239.1663301271396
2013-01-16,Los Angeles,22.5,15.9,10.7,30.189999999999998,90.57,239.1663301271396
2012-09-17,Philadelphia,24.6,12.1,0.0,440.48999999999995,3083.43,189.6016507116605
2012-09-17,Philadelphia,24.6,12.1,0.0,4.809,9.618,189.6016507116605
2012-09-17,Philadelphia,24.6,12.1,0.0,41.4,124.2,189.6016507116605
2012-09-17,Philadelphia,24.6,12.1,0.0,1.632,3.264,189.6016507116605
2012-09-17,Philadelphia,24.6,12.1,0.0,14.384,86.304,189.6016507116605
2012-09-17,Philadelphia,24.6,12.1,0.0,1.143,6.858,189.6016507116605
2012-09-17,Philadelphia,24.6,12.1,0.0,7.88,15.76,189.6016507116605
2014-10-20,Houston,10.8,1.7,0.1,9.824,29.472,237.3407134913668
2012-12-27,Houston,-16.0,-22.8,0.0,12.592,113.328,297.28390511159955
2012-12-27,Houston,-16.0,-22.8,0.0,177.4664,532.3992,297.28390511159955
2012-12-27,Houston,-16.0,-22.8,0.0,70.68599999999999,212.058,297.28390511159955
2012-12-27,Houston,-16.0,-22.8,0.0,92.792,371.168,297.28390511159955
2013-07-18,Los Angeles,21.4,14.8,61.6,38.94,77.88,247.374147731919
2013-12-12,New York City,-4.0,-8.1,0.0,2.18,15.26,298.80916735324405
2013-12-12,New York City,-4.0,-8.1,0.0,205.99,1029.95,298.80916735324405
2012-11-24,Los Angeles,22.8,14.3,43.0,6.99,13.98,228.341190119434
2012-11-24,Los Angeles,22.8,14.3,43.0,4.304,25.824,228.341190119434
2012-11-24,Los Angeles,22.8,14.3,43.0,48.91,146.73,228.341190119434
2012-11-24,Los Angeles,22.8,14.3,43.0,19.94,79.76,228.341190119434
2012-04-30,Chicago,29.8,21.4,3.6,42.623000000000005,213.115,213.0069523328069
2013-06-05,Springfield,18.8,11.3,0.0,37.94,75.88,236.82354956147768
2013-09-19,New York City,23.7,10.5,0.0,4.616,4.616,185.70301231723963
2014-12-10,Houston,3.5,-3.8,0.0,0.416,1.248,262.5855894959214
2014-12-10,Houston,3.5,-3.8,0.0,3.236,9.708,262.5855894959214
2014-12-10,Houston,3.5,-3.8,0.0,9.08,27.24,262.5855894959214
2011-11-26,Houston,1.7,-5.5,0.1,3.8600000000000003,19.3,266.2107942001157
2011-10-12,San Francisco,25.2,19.1,26.2,2.98,14.9,240.66053235659933
2011-10-12,San Francisco,25.2,19.1,26.2,21.39,21.39,240.66053235659933
2014-11-14,Chicago,27.5,19.6,4.5,76.792,230.376,220.56855728066515
2013-04-06,Houston,3.7,-3.8,0.0,22.624,158.368,260.7474131203316
2013-09-18,Los Angeles,22.3,14.0,63.9,6.7,20.1,233.30927051565635
2013-09-18,Los Angeles,22.3,14.0,63.9,36.792,73.584,233.30927051565635
2013-09-18,Los Angeles,22.3,14.0,63.9,6.48,6.48,233.30927051565635
2014-11-10,New York City,14.5,4.1,0.0,13.790000000000001,96.53,221.57739725607087
2014-06-18,San Francisco,29.1,21.0,0.0,17.104,51.312,215.9407107313385
2013-08-30,Chicago,31.7,21.5,0.0,9.232,64.624,195.84767787510063
2013-08-30,Chicago,31.7,21.5,0.0,31.992,95.976,195.84767787510063
2013-08-30,Chicago,31.7,21.5,0.0,0.596,1.788,195.84767787510063
2014-12-26,New York City,8.7,1.4,0.0,20.98,41.96,254.3469080054552
2011-08-25,Columbus,20.0,10.4,8.6,2.864,40.096,220.04094484260017
2011-08-25,Columbus,20.0,10.4,8.6,2.36,4.72,220.04094484260017
